ID,Artists,Streams
218,"BTS, Jason Derulo, Jawsh 685",47829994
219,"DJ PH DA SERRA, Dj Lv Mdp, Mc Anjim",47248326
220,"50 Cent, Ed Sheeran, Eminem",46389797
221,"Anitta, Rita Ora, Sofía Reyes",45951558
222,"Black Coffee, Drake, Jorja Smith",45416280
223,"Camilo, Lunay, Mau y Ricky",45255270
224,"Anitta, Major Lazer, Pabllo Vittar",45185827
225,"Cashmere Cat, Major Lazer, Tory Lanez",44812261
226,"Calvin Harris, Funk Wav, SZA",44428529
227,"21 Savage, Rob49, Travis Scott",43274587
228,"DaBaby, Drake, Lil Yachty",43150768
229,"6ix9ine, Kanye West, Nicki Minaj",42748680
230,"Travis Barker, YUNGBLUD, mgk",42297837
231,"Jasmine Thompson, Skizzy Mars, Vice",42131896
232,"Alok, Dj GBR, Mc Don Juan",41762267
233,"Ariana Grande, Doja Cat, Megan Thee Stallion",41387155
234,"CVBZ, Cheat Codes, Fetty Wap",40925494
235,"Polo G, Stunna Gambino, The Kid LAROI",40838080
236,"Halsey, Travis Barker, YUNGBLUD",40083425
237,"Duki, MYA, TINI",40031438
238,"Huncho Jack, Quavo, Travis Scott",39479267
239,"Amber Coffman, Cults, J. Cole",38891803
240,"Banx & Ranx, Ella Eyre, Yxng Bane",38247111
241,"Black Eyed Peas, David Guetta, Shakira",36963521
242,"Kotim, MC Ryan SP, Mc Paiva ZS",36431050
243,"Alex Aiono, Felix Jaehn, Hight",35975127
244,"BTS, Juice WRLD, SUGA",35245479
245,"CMC$, DVBBS, Gia Koka",34951697
246,"Agnes, Avicii, Vargas & Lagola",34481246
247,"Drake, Giveon, Lil Durk",34083585
248,"2 Chainz, Drake, Young Thug",33963246
249,"Arcángel, Romeo Santos, Sech",33674106
250,"Anuel AA, Bantu, Nicki Minaj",33350812
251,"Dadá Boladão, OIK, Tati Zaqui",32701322
252,"Aitch, BIA, Luciano",32493533
253,"Matuê, Teto, WIU",31789334
254,"Bad Bunny, Marc Anthony, Will Smith",31656630
255,"Drake, Lil Wayne, Nicki Minaj",31458073
