Edge_Artist_1,Edge_Artist_2,Streams,Path,Path Length
Chance the Rapper,Lil Wayne,790568390,Chance the Rapper → Justin Bieber → Lil Wayne,2
Joel Corry,MNEK,785924030,Joel Corry → Jax Jones → MNEK,2
Tyga,Offset,782331412,Tyga → DJ Snake → Offset,2
Wisin,Los Legendarios,780424235,Wisin → Jhayco → Los Legendarios,2
Stephen Sanchez,Em Beihold,778555746,,-1
Daddy Yankee,Snow,777603240,Daddy Yankee → Katy Perry → Snow,2
Ozuna,KAROL G,775084995,Ozuna → Bad Bunny → KAROL G,2
Juice WRLD,Eminem,769770894,Juice WRLD → Polo G → Eminem,2
Ozuna,Feid,766223621,Ozuna → Bad Bunny → Feid,2
Macklemore & Ryan Lewis,Macklemore,765986343,Macklemore & Ryan Lewis → Ryan Lewis → Macklemore,2
Macklemore & Ryan Lewis,Ryan Lewis,765986343,Macklemore & Ryan Lewis → Macklemore → Ryan Lewis,2
Macklemore & Ryan Lewis,Ray Dalton,765986343,Macklemore & Ryan Lewis → Macklemore → Ray Dalton,2
Macklemore,Ryan Lewis,765986343,Macklemore → Macklemore & Ryan Lewis → Ryan Lewis,2
Macklemore,Ray Dalton,765986343,Macklemore → Macklemore & Ryan Lewis → Ray Dalton,2
Ryan Lewis,Ray Dalton,765986343,Ryan Lewis → Macklemore & Ryan Lewis → Ray Dalton,2
Lost Frequencies,Calum Scott,765580936,,-1
ROSALÍA,J Balvin,762803360,ROSALÍA → Bad Bunny → J Balvin,2
Chencho Corleone,Rauw Alejandro,750484460,Chencho Corleone → Bad Bunny → Rauw Alejandro,2
Feid,Young Miko,747021292,Feid → Bad Bunny → Young Miko,2
Zedd,Maren Morris,741276314,Zedd → Grey → Maren Morris,2
Maren Morris,Grey,741276314,Maren Morris → Zedd → Grey,2
Bizarrap,Shakira,737502479,Bizarrap → Rauw Alejandro → Shakira,2
Bad Bunny,Drake,735049557,Bad Bunny → Travis Scott → Drake,2
DJ Khaled,Lil Wayne,733152538,DJ Khaled → Justin Bieber → Lil Wayne,2
Lana Del Rey,The Weeknd,730975803,Lana Del Rey → Ariana Grande → The Weeknd,2
Sech,Farruko,727704576,Sech → Bad Bunny → Farruko,2
Justin Bieber,Lil Wayne,720836953,Justin Bieber → David Guetta → Lil Wayne,2
Quavo,Lil Wayne,720836953,Quavo → Justin Bieber → Lil Wayne,2
Bad Bunny,Ozuna,715634900,Bad Bunny → Chencho Corleone → Ozuna,2
Marshmello,Anne-Marie,714909410,Marshmello → James Arthur → Anne-Marie,2
Drake,Travis Scott,708799277,Drake → Bad Bunny → Travis Scott,2
KAROL G,Daddy Yankee,703150756,KAROL G → Bad Bunny → Daddy Yankee,2
Sam Smith,Normani,702710293,Sam Smith → Calvin Harris → Normani,2
Post Malone,Young Thug,699742545,Post Malone → Doja Cat → Young Thug,2
Khalid,Disclosure,696345422,,-1
Anuel AA,Nicky Jam,696303028,Anuel AA → Bizarrap → Nicky Jam,2
Sech,Justin Quiles,690218320,Sech → Feid → Justin Quiles,2
The Weeknd,Gesaffelstein,688627765,,-1
Bebe Rexha,Florida Georgia Line,688386937,Bebe Rexha → The Chainsmokers → Florida Georgia Line,2
Pedro Capó,Farruko,687647813,Pedro Capó → Camilo → Ozuna → Farruko,3
Bad Bunny,Ñengo Flow,686924138,Bad Bunny → Chencho Corleone → Ñengo Flow,2
