Artist ID,Artists,Streams
193,"Internet Money, Gunna, Don Toliver, NAV",6257933
194,"BANDIDO, Duki, Rei, Tiago PZK",5984231
195,"Joel Corry, Jax Jones, Charli XCX, Saweetie",5322737
196,"DJ Snake, Selena Gomez, Ozuna, Cardi B",7574182
197,"Jax Jones, Martin Solveig, Madison Beer, Europa",6797675
198,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",5239909
199,"benny blanco, Selena Gomez, J Balvin, Tainy",5234720
200,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",10989139
201,"Martin Garrix, David Guetta, Jamie Scott, Romy Dya",7370470
202,"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander",6397635
203,"Huncho Jack, Travis Scott, Quavo, Offset",5923537
204,"Huncho Jack, Travis Scott, Quavo, Takeoff",5542140
205,"David Guetta, AFROJACK, Charli XCX, French Montana",4631692
206,"Chris Jedi, J Balvin, Ozuna, Arcángel",4574465
207,"21 Savage, Offset, Metro Boomin, Travis Scott",4191528
208,"Internet Money, Gunna, Don Toliver, NAV",18108073
209,"J Balvin, Dua Lipa, Bad Bunny, Tainy",7925452
210,"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",5649723
211,"French Montana, Rvssian, Post Malone, Cardi B",7173356
212,"DJ Snake, Selena Gomez, Ozuna, Cardi B",4821971
213,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",12807723
214,"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander",7234069
215,"Martin Garrix, David Guetta, Jamie Scott, Romy Dya",7153262
216,"21 Savage, Offset, Metro Boomin, Travis Scott",5763705
217,"Chris Jedi, J Balvin, Ozuna, Arcángel",4718931
218,"David Guetta, AFROJACK, Charli XCX, French Montana",4689408
219,"Lorde, Khalid, Post Malone, SZA",3997533
220,"JC NO BEAT, DJ F7, MC Meno Dani, Silva Mc",10083665
221,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",9668162
222,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",8437776
223,"Imagine Dragons, JID, Arcane, League of Legends",7666694
224,"Sebastian Yatra, Daddy Yankee, NATTI NATASHA, Jonas Brothers",6737504
225,"DJ Snake, Selena Gomez, Ozuna, Cardi B",5741878
226,"Mustard, NAV, Playboi Carti, A Boogie Wit da Hoodie",5020890
227,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper",26590758
228,"Tiësto, Dzeko, Preme, Post Malone",20132101
229,"Nicky Jam, J Balvin, Maluma, Ozuna",10705976
230,"Rudimental, Jess Glynne, Macklemore, Dan Caplen",7061613
231,"Daddy Yankee, NATTI NATASHA, Becky G, Bad Bunny",6794168
232,"YG, 2 Chainz, Big Sean, Nicki Minaj",5215673
233,"Sia, Diplo, Labrinth, LSD",5159618
234,"Rudimental, Major Lazer, Anne-Marie, Mr Eazi",3851171
235,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",3838244
236,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",9019585
237,"Veigh, Bvga Beatz, Prod Malax, Supernova Ent",8092985
238,"Internet Money, Gunna, Don Toliver, NAV",18425259
239,"J Balvin, Dua Lipa, Bad Bunny, Tainy",8181552
240,"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",5686129
241,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",7347714
242,"G Herbo, Lil Uzi Vert, Juice WRLD, Chance the Rapper",4834626
243,"Chris Jedi, J Balvin, Ozuna, Arcángel",6908844
244,"Calvin Harris, Young Thug, Pharrell Williams, Ariana Grande",4693737
245,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",4191786
246,"IAmChino, Pitbull, Yandel, El Chacal",3952909
247,"J Balvin, Pharrell Williams, BIA, Sky Rompiendo",6894070
248,"IAmChino, Pitbull, Yandel, El Chacal",5393824
249,"Imagine Dragons, JID, Arcane, League of Legends",24384563
250,"Joel Corry, Jax Jones, Charli XCX, Saweetie",7070751
251,"DJ Snake, Ozuna, Megan Thee Stallion, LISA",6341371
252,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",5823725
253,"Internet Money, Gunna, Don Toliver, NAV",25874945
254,"J Balvin, Dua Lipa, Bad Bunny, Tainy",11478199
255,"24kGoldn, Justin Bieber, J Balvin, iann dior",7573978
256,"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",6457029
257,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",9755449
258,"Beyoncé, JAY-Z, Childish Gambino, Oumou Sangaré",8226052
